Order_Id,Quantity,Item_Name,Item_Price,Choice_Description_1,Choice_Description_2,Choice_Description_3,Choice_Description_4,Choice_Description_5,Choice_Description_6,Choice_Description_7,Choice_Description_8,Choice_Description_9,Choice_Description_10,Item_price,Encoded_Item
1,1,Chips and Fresh Tomato Salsa,3.29,None,,,,,,,,,,3.29,24
1,1,Izze,3.39,Clementine,,,,,,,,,,3.39,34
1,1,Nantucket Nectar,3.64,Apple,,,,,,,,,,3.64,35
1,1,Chips and TomatilloGreen Chili Salsa,2.54,None,,,,,,,,,,2.54,31
2,2,Chicken Bowl,20.27,TomatilloRed Chili Salsa Hot, Black Beans, Rice, Cheese, Sour Cream,,,,,,20.27,17
3,1,Chicken Bowl,10.13,Fresh Tomato Salsa Mild, Rice, Cheese, Sour Cream, Guacamole, Lettuce,,,,,10.13,17
3,1,Side of Chips,1.84,None,,,,,,,,,,1.84,37
4,1,Steak Burrito,10.46,Tomatillo Red Chili Salsa, Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce,,,10.46,39
4,1,Steak Soft Tacos,9.75,Tomatillo Green Chili Salsa, Pinto Beans, Cheese, Sour Cream, Lettuce,,,,,,9.75,43
5,1,Steak Burrito,10.46,Fresh Tomato Salsa, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce,,,,10.46,39
5,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
6,1,Chicken Crispy Tacos,10.05,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream,,,,,10.05,19
6,1,Chicken Soft Tacos,9.66,Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream,,,,,,9.66,22
7,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole,,,,,10.13,17
7,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
8,1,Chips and TomatilloGreen Chili Salsa,2.54,None,,,,,,,,,,2.54,31
8,1,Chicken Burrito,10.1,TomatilloGreen Chili Salsa Medium, Pinto Beans, Cheese, Sour Cream,,,,,,,10.1,18
9,1,Chicken Burrito,10.1,Fresh Tomato Salsa Mild, Black Beans, Rice, Cheese, Sour Cream, Lettuce,,,,,10.1,18
9,2,Canned Soda,2.66,Sprite,,,,,,,,,,2.66,9
10,1,Chicken Bowl,10.13,Tomatillo Red Chili Salsa, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce,,,,,10.13,17
10,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
11,1,Barbacoa Burrito,9.85,Fresh Tomato Salsa Mild, TomatilloGreen Chili Salsa Medium, TomatilloRed Chili Salsa Hot, Rice, Cheese, Sour Cream, Lettuce,,,,9.85,2
11,1,Nantucket Nectar,3.64,Pomegranate Cherry,,,,,,,,,,3.64,35
12,1,Chicken Burrito,10.1,TomatilloGreen Chili Salsa Medium, TomatilloRed Chili Salsa Hot, Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce,,,10.1,18
12,1,Izze,3.39,Grapefruit,,,,,,,,,,3.39,34
13,1,Chips and Fresh Tomato Salsa,3.29,None,,,,,,,,,,3.29,24
13,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa Medium, Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,,,,10.13,17
14,1,Carnitas Burrito,10.13,TomatilloGreen Chili Salsa Medium, Roasted Chili Corn Salsa Medium, Black Beans, Rice, Sour Cream, Lettuce,,,,,10.13,12
14,1,Canned Soda,1.33,Dr Pepper,,,,,,,,,,1.33,9
15,1,Chicken Burrito,10.1,TomatilloGreen Chili Salsa Medium, Pinto Beans, Rice, Cheese, Sour Cream,,,,,,10.1,18
15,1,Chips and TomatilloGreen Chili Salsa,2.54,None,,,,,,,,,,2.54,31
16,1,Steak Burrito,10.46,Roasted Chili Corn Salsa Medium, Fresh Tomato Salsa Mild, Rice, Black Beans, Sour Cream,,,,,,10.46,39
16,1,Side of Chips,1.84,None,,,,,,,,,,1.84,37
